eye,x_coord,y_coord,Location
OD,-9,21,l1
OD,-3,21,l2
OD,3,21,l3
OD,9,21,l4
OD,-15,15,l5
OD,-9,15,l6
OD,-3,15,l7
OD,3,15,l8
OD,9,15,l9
OD,15,15,l10
OD,-21,9,l11
OD,-15,9,l12
OD,-9,9,l13
OD,-1,9,l14
OD,1,9,l15
OD,9,9,l16
OD,15,9,l17
OD,21,9,l18
OD,-5,7,l19
OD,-3,7,l20
OD,-1,7,l21
OD,1,7,l22
OD,3,7,l23
OD,5,7,l24
OD,-7,5,l25
OD,-5,5,l26
OD,-3,5,l27
OD,-1,5,l28
OD,1,5,l29
OD,3,5,l30
OD,5,5,l31
OD,7,5,l32
OD,-27,3,l33
OD,-21,3,l34
OD,-15,3,l35
OD,-7,3,l36
OD,-5,3,l37
OD,-3,3,l38
OD,-1,3,l39
OD,1,3,l40
OD,3,3,l41
OD,5,3,l42
OD,7,3,l43
OD,15,3,l44
OD,21,3,l45
OD,-9,1,l46
OD,-7,1,l47
OD,-5,1,l48
OD,-3,1,l49
OD,-1,1,l50
OD,1,1,l51
OD,3,1,l52
OD,5,1,l53
OD,7,1,l54
OD,9,1,l55
OD,-9,-1,l56
OD,-7,-1,l57
OD,-5,-1,l58
OD,-3,-1,l59
OD,-1,-1,l60
OD,1,-1,l61
OD,3,-1,l62
OD,5,-1,l63
OD,7,-1,l64
OD,9,-1,l65
OD,-27,-3,l66
OD,-21,-3,l67
OD,-15,-3,l68
OD,-7,-3,l69
OD,-5,-3,l70
OD,-3,-3,l71
OD,-1,-3,l72
OD,1,-3,l73
OD,3,-3,l74
OD,5,-3,l75
OD,7,-3,l76
OD,15,-3,l77
OD,21,-3,l78
OD,-7,-5,l79
OD,-5,-5,l80
OD,-3,-5,l81
OD,-1,-5,l82
OD,1,-5,l83
OD,3,-5,l84
OD,5,-5,l85
OD,7,-5,l86
OD,-5,-7,l87
OD,-3,-7,l88
OD,-1,-7,l89
OD,1,-7,l90
OD,3,-7,l91
OD,5,-7,l92
OD,-21,-9,l93
OD,-15,-9,l94
OD,-9,-9,l95
OD,-1,-9,l96
OD,1,-9,l97
OD,9,-9,l98
OD,15,-9,l99
OD,21,-9,l100
OD,-15,-15,l101
OD,-9,-15,l102
OD,-3,-15,l103
OD,3,-15,l104
OD,9,-15,l105
OD,15,-15,l106
OD,-9,-21,l107
OD,-3,-21,l108
OD,3,-21,l109
OD,9,-21,l110
OS,9,21,l1
OS,3,21,l2
OS,-3,21,l3
OS,-9,21,l4
OS,15,15,l5
OS,9,15,l6
OS,3,15,l7
OS,-3,15,l8
OS,-9,15,l9
OS,-15,15,l10
OS,21,9,l11
OS,15,9,l12
OS,9,9,l13
OS,1,9,l14
OS,-1,9,l15
OS,-9,9,l16
OS,-15,9,l17
OS,-21,9,l18
OS,5,7,l19
OS,3,7,l20
OS,1,7,l21
OS,-1,7,l22
OS,-3,7,l23
OS,-5,7,l24
OS,7,5,l25
OS,5,5,l26
OS,3,5,l27
OS,1,5,l28
OS,-1,5,l29
OS,-3,5,l30
OS,-5,5,l31
OS,-7,5,l32
OS,27,3,l33
OS,21,3,l34
OS,15,3,l35
OS,7,3,l36
OS,5,3,l37
OS,3,3,l38
OS,1,3,l39
OS,-1,3,l40
OS,-3,3,l41
OS,-5,3,l42
OS,-7,3,l43
OS,-15,3,l44
OS,-21,3,l45
OS,9,1,l46
OS,7,1,l47
OS,5,1,l48
OS,3,1,l49
OS,1,1,l50
OS,-1,1,l51
OS,-3,1,l52
OS,-5,1,l53
OS,-7,1,l54
OS,-9,1,l55
OS,9,-1,l56
OS,7,-1,l57
OS,5,-1,l58
OS,3,-1,l59
OS,1,-1,l60
OS,-1,-1,l61
OS,-3,-1,l62
OS,-5,-1,l63
OS,-7,-1,l64
OS,-9,-1,l65
OS,27,-3,l66
OS,21,-3,l67
OS,15,-3,l68
OS,7,-3,l69
OS,5,-3,l70
OS,3,-3,l71
OS,1,-3,l72
OS,-1,-3,l73
OS,-3,-3,l74
OS,-5,-3,l75
OS,-7,-3,l76
OS,-15,-3,l77
OS,-21,-3,l78
OS,7,-5,l79
OS,5,-5,l80
OS,3,-5,l81
OS,1,-5,l82
OS,-1,-5,l83
OS,-3,-5,l84
OS,-5,-5,l85
OS,-7,-5,l86
OS,5,-7,l87
OS,3,-7,l88
OS,1,-7,l89
OS,-1,-7,l90
OS,-3,-7,l91
OS,-5,-7,l92
OS,21,-9,l93
OS,15,-9,l94
OS,9,-9,l95
OS,1,-9,l96
OS,-1,-9,l97
OS,-9,-9,l98
OS,-15,-9,l99
OS,-21,-9,l100
OS,15,-15,l101
OS,9,-15,l102
OS,3,-15,l103
OS,-3,-15,l104
OS,-9,-15,l105
OS,-15,-15,l106
OS,9,-21,l107
OS,3,-21,l108
OS,-3,-21,l109
OS,-9,-21,l110
